,,Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH)
,,25%,mediana,75%,electores
area_0,area_1,,,,
Resto 1a Seccion,general las heras,6450,10370,15290,12900
Resto 1a Seccion,navarro,6110,9800,14790,14500
Resto 1a Seccion,suipacha,5850,10870,15440,9200
Resto 2a Seccion,baradero,5900,10290,16150,28500
Resto 2a Seccion,bartolome mitre,6090,10270,16060,24400
Resto 2a Seccion,capitan sarmiento,6260,10370,16460,12500
Resto 2a Seccion,carmen de areco,6590,10890,17600,12300
Resto 2a Seccion,colon,6060,10680,16030,20400
Resto 2a Seccion,exaltacion de la cruz,6630,10870,17300,28100
Resto 2a Seccion,ramallo,5530,10280,15710,27700
Resto 2a Seccion,rojas,6690,11140,16180,20300
Resto 2a Seccion,salto,6400,10820,16030,28500
Resto 2a Seccion,san andres de giles,6300,10060,14760,19300
Resto 2a Seccion,san antonio de areco,6660,10860,16370,19800
Resto 3a Seccion,brandsen,6110,10840,16460,23100
Resto 3a Seccion,canuelas,5750,10590,16080,43600
Resto 3a Seccion,lobos,6830,10780,16100,31200
Resto 3a Seccion,magdalena,6590,10600,16740,14900
Resto 3a Seccion,punta indio,6120,11060,16550,9500
Resto 4a Seccion,alberti,7700,11990,17300,9000
Resto 4a Seccion,bragado,6350,10980,17320,36200
Resto 4a Seccion,carlos casares,6370,11260,16930,18500
Resto 4a Seccion,carlos tejedor,6950,10500,15290,9800
Resto 4a Seccion,chacabuco,6450,10940,17230,41600
Resto 4a Seccion,florentino ameghino,6590,10560,16030,8000
Resto 4a Seccion,general arenales,6970,10800,15800,14600
Resto 4a Seccion,general pinto,5540,9890,15030,9600
Resto 4a Seccion,general viamonte,7410,11410,16820,15700
Resto 4a Seccion,general villegas,6020,10940,16140,24800
Resto 4a Seccion,hipolito yrigoyen,6120,11190,17220,8000
Resto 4a Seccion,leandro n. alem,6400,11410,16890,14400
Resto 4a Seccion,lincoln,6990,11000,16900,36700
Resto 4a Seccion,nueve de julio,6530,11050,16990,40600
Resto 4a Seccion,pehuajo,6430,11140,16660,34500
Resto 4a Seccion,rivadavia,4710,9490,15260,14000
Resto 4a Seccion,trenque lauquen,5770,11270,17410,38300
Resto 5a Seccion,ayacucho,5820,10460,16250,17400
Resto 5a Seccion,balcarce,6180,10800,16940,39200
Resto 5a Seccion,castelli,5470,10400,16460,7600
Resto 5a Seccion,chascomus,6260,11130,16920,37500
Resto 5a Seccion,dolores,6070,10570,16080,24000
Resto 5a Seccion,general alvarado,5700,10400,16740,35100
Resto 5a Seccion,general belgrano,6520,10400,15570,15900
Resto 5a Seccion,general guido,6250,9370,14220,2400
Resto 5a Seccion,general juan madariaga,6350,11570,17100,17700
Resto 5a Seccion,general lavalle,5390,8760,14870,3800
Resto 5a Seccion,general paz,6250,10610,15870,10200
Resto 5a Seccion,las flores,5700,10290,15540,21100
Resto 5a Seccion,loberia,5880,11710,17490,14300
Resto 5a Seccion,maipu,5880,9860,15810,9900
Resto 5a Seccion,mar chiquita,6890,11270,17640,23300
Resto 5a Seccion,monte,5660,10460,15660,18600
Resto 5a Seccion,pila,5930,10450,17030,3100
Resto 5a Seccion,pinamar,6750,12230,18220,27500
Resto 5a Seccion,rauch,5860,9600,15320,13600
Resto 5a Seccion,san cayetano,5770,10410,18380,7200
Resto 5a Seccion,tordillo,6370,10460,16450,1500
Resto 5a Seccion,villa gesell,6590,10800,17100,29600
Resto 6a Seccion,adolfo alsina,6910,10690,16970,14300
Resto 6a Seccion,adolfo gonzales chaves,6000,10350,15380,10500
Resto 6a Seccion,benito juarez,6310,10940,16940,16900
Resto 6a Seccion,coronel de marina l. rosales,6820,11960,18600,19900
Resto 6a Seccion,coronel dorrego,7420,11840,17530,13800
Resto 6a Seccion,coronel pringles,6300,11240,16940,19600
Resto 6a Seccion,coronel suarez,7300,11370,16670,33000
Resto 6a Seccion,daireaux,6510,10630,16470,14500
Resto 6a Seccion,general la madrid,6060,10240,14990,9500
Resto 6a Seccion,guamini,6500,11290,17100,9800
Resto 6a Seccion,laprida,6090,10820,15880,9400
Resto 6a Seccion,monte hermoso,7700,11940,17810,7800
Resto 6a Seccion,patagones,6980,12280,17620,27100
Resto 6a Seccion,pellegrini,7090,12470,19470,5100
Resto 6a Seccion,puan,9020,12790,17510,14400
Resto 6a Seccion,saavedra,7120,12040,17660,18300
Resto 6a Seccion,salliquelo,7060,10890,15530,7800
Resto 6a Seccion,tornquist,7120,11110,17500,12400
Resto 6a Seccion,tres lomas,6380,10820,14550,6600
Resto 6a Seccion,villarino,5570,9570,13980,26000
Resto 7a Seccion,bolivar,6510,11310,17220,30400
Resto 7a Seccion,general alvear,5690,11050,17200,8500
Resto 7a Seccion,roque perez,6450,10780,16090,10300
Resto 7a Seccion,saladillo,5680,10180,15820,27400
Resto 7a Seccion,tapalque,5380,10130,15670,8400
Resto 7a Seccion,veinticinco de mayo,6280,10220,15350,30800
almirante brown,00017,9480,14240,23430,25300
almirante brown,00018,7570,11750,17290,31300
almirante brown,00019,7010,11030,16130,96600
almirante brown,00020,7810,12040,18120,33800
almirante brown,00021,6510,10840,16320,54800
almirante brown,00022,6670,10930,15710,40800
almirante brown,0018A,6080,9840,13970,52000
almirante brown,0020A,6220,10430,14920,26500
almirante brown,0021A,5120,9830,14790,13200
almirante brown,0022A,7220,11040,16120,53000
almirante brown,0022B,7140,11230,15820,15600
avellaneda,00023,8810,12800,19530,17000
avellaneda,00024,7730,13390,19040,10400
avellaneda,00025,7660,11690,17100,11300
avellaneda,00026,6070,9360,14360,5200
avellaneda,00027,6270,11160,16120,23800
avellaneda,00030,7800,12420,18610,6100
avellaneda,00031,8340,12100,16160,2500
avellaneda,00032,6770,11630,16780,4200
avellaneda,00033,8940,13350,18810,11900
avellaneda,00034,8070,12560,17540,22200
avellaneda,00037,7520,12000,17290,21400
avellaneda,00038,7680,11980,17190,37900
avellaneda,00039,6790,11130,16010,55800
avellaneda,00040,7290,12040,17670,70600
azul,00060,6170,11290,17450,49900
azul,00061,3670,5060,9220,100
azul,00062,5750,9570,14590,3000
azul,00063,18510,18540,18560,0
